,BA9_CT,BA9_AD,ROSMAP_CT,ROSMAP_hAD,SEAAD_lAD,SEAAD_hAD,SEAAD_DL_lAD,SEAAD_DL_hAD
ARL6IP5,1,1,1,1,1,0,0,0
VSNL1,1,1,1,1,0,0,0,0
INPP5F,1,0,1,0,0,0,0,0
GAP43,0,1,0,0,0,0,0,0
HPCA,0,1,0,0,1,0,0,0
ESF1,0,0,1,0,0,0,0,0
STXBP1,0,1,0,0,0,0,0,0
DNAJB2,1,0,0,0,0,0,0,0
SPRYD3,0,0,0,0,1,0,0,0
FAIM2,1,1,1,0,1,1,0,0
TMEM14A,0,0,0,0,0,0,0,1
REEP2,0,0,1,0,0,0,0,0
PNMA1,0,0,0,0,1,0,0,0
PRRT1,0,0,0,0,1,0,0,0
ATP6V1G1,0,0,0,0,1,0,0,0
TMEM160,0,1,0,0,0,0,1,1
FILIP1L,0,0,0,0,0,1,0,1
SEZ6L2,1,1,1,1,1,0,1,0
RPS27,0,0,0,0,1,1,1,1
GUK1,1,0,0,1,1,0,1,1
SOD1,1,1,1,1,1,0,1,0
PFDN2,0,1,0,0,1,0,0,0
LINGO1,0,0,0,1,0,0,0,0
PNMA3,1,0,0,0,0,0,0,0
ENO1,0,1,0,0,1,0,0,0
PINK1,0,0,0,0,1,0,0,0
YWHAE,1,1,1,0,0,0,0,0
ITM2C,0,1,0,0,1,0,1,1
ATP1A1,1,1,1,1,1,0,0,0
H3F3B,0,0,0,0,1,0,1,1
RPS3,0,0,0,1,1,0,0,0
TMSB4X,1,1,0,1,0,1,1,1
SLC38A2,0,0,0,0,1,0,0,0
MT-ATP6,0,0,1,1,0,0,0,0
HNRNPK,1,0,1,1,1,0,0,0
NAP1L5,0,0,0,0,1,0,0,0
ARF3,0,0,0,0,0,1,0,0
ATP6V1G2,0,0,0,0,1,0,0,0
RPLP1,0,1,0,0,1,1,1,1
RAB3A,1,1,0,1,1,0,0,0
FLOT1,0,0,1,0,0,0,0,0
RORA-AS1,0,0,0,0,0,0,0,1
DYNLT3,0,0,0,0,1,0,0,0
C9orf16,0,0,0,0,1,0,1,1
MAP1B,1,1,1,1,0,0,0,0
NAPB,1,1,1,1,1,0,0,0
DNAJB6,0,0,1,0,0,0,0,0
MALAT1,0,0,0,0,0,1,0,1
ATP5F1A,0,0,0,0,1,0,0,0
C4orf3,0,0,0,0,1,0,0,0
ATP5F1D,0,1,0,0,1,0,0,0
SNHG6,0,0,0,0,1,0,0,0
KIF5A,0,0,1,0,0,0,0,0
RHBDL2,0,0,0,0,0,0,0,1
REX1BD,0,0,0,0,0,0,0,1
NDUFB4,0,0,0,0,1,0,0,0
SNAP25,1,1,0,0,0,0,0,0
YPEL3,1,0,1,1,1,0,1,1
FTL,1,1,1,1,1,1,1,1
CLIP3,1,0,1,0,0,0,0,0
PCBP2,0,0,1,0,0,0,0,0
PJA2,1,1,0,0,1,1,0,0
IL7,0,0,0,0,0,0,0,1
REEP5,0,0,1,1,1,0,0,0
PIP4K2B,0,0,1,0,0,0,0,0
SUB1,1,1,1,1,0,1,0,0
PCMT1,0,0,1,0,0,0,0,0
SPOCK2,1,0,1,1,0,0,0,0
MIF,0,0,0,0,1,0,1,1
NDRG4,1,1,1,1,0,0,0,0
SCOC,0,0,0,0,1,0,0,0
RPS21,0,0,0,0,1,0,1,1
ST13,0,0,0,0,1,0,0,0
RPL21,0,0,0,0,1,1,1,1
